Address,Tickets
0xbc0a406d4f83cff0f2240a78a32113c7938b852d,48.0
0xae74f7b79d3e32a819675403e54a550824c0bf02,48.0
0x98bce2cc31c3c05c6d28eecdb1476e7a133ea563,47.0
0x97793e0139ae6a05d418d9a79e324f38802044a3,46.0
0x332c7c85fd5e5bd06b187fde8a189758d9239ebd,46.0
0x88889778402dcf6cf363bb9ac47f7a2d8e77a2af,45.0
0x35dcb9e751d916f6550b44d4562f83dcf37bac49,45.0
0x1dc7e3f91f8dfc126ece86cf5f41ce305c4420e7,45.0
0x5318b851d96637823aef87df2c59ab6de37f599d,44.0
0x3191dd64a12bb287b08d17d04b278fe9eee46cad,44.0
0xb9fe7df583acc14c3cc90789c136ebaf11d6e843,44.0
0x07604e4fe997f3838196c0cc664ac35daee744f6,44.0
0xb9b17dc8a51317f64b491dc654162d5e22eff402,44.0
0x83015f93c97816768a3a66fddfd6b3a98df1ca00,43.0
0x752b76db700bb8b44ea0684dba70c6e0baa7f640,42.0
0x78ee499eaac627fd97b742797e10b483f62ad48d,42.0
0x945191ab90d5b511f80c297681e5de54e55c50b8,42.0
0xa26fc7111446288be63ea7a146be79d99ae6c71f,42.0
0x67d4f9ce31512ba7a19b3ded461073204cf0158c,41.0
0xac1bd379fb49ec2f3ea8b7e2e331b682079ec9e4,41.0
0x1cf1798fa87cf3debb2ddf280dc250df4947872a,41.0
0x69650957e76131e1b58bc2cc109d523a5a529553,41.0
0x565bf631e25284b3a3f771da9b1a642cd55f92f4,40.0
0x42179a919a4445e9f46e0138d468353d579b5245,40.0
0x9d4c1c518442ad9eb23cb79a4792d508b49c81af,39.0
0x1878637da33bd51910353da5a3beb039a8c8d0fc,39.0
0x7caa9f43822e288782e3e8797c8a16774c689b3d,38.0
0xb278ada59e7af95a0c3de7699d8946b853f1e38a,38.0
0xc10d5f894065853f27ebe237052c9186e1d37626,38.0
0x2423b65c54bcf69633752c388185c431da74dbba,38.0
0x30fda908872967c850fdbbf7d45d9fb6a1578b1c,37.0
0xf8f8c849decf20610686f652d6ae0a9c9fe3404e,36.0
