Address,Tickets
0x004d9bd9750abd44a77de1ac2663559ea8b60fc5,1.0
0x00517539c2f0a1efea7b088f857f7619fa02199e,1.0
0x0051e264499e714b7cf49d6b0f90cd223170ffac,1.0
0x0053c3954eb9db1455c5c10a0de6ce88ecf0ef17,1.0
0x0055934f094ba9b1973f944cb1e14691aefe7aaa,1.0
0x00565da20224b09d2e139f034250d8938612d8a8,1.0
0x005733ec2a955b993923394b3f05a8bb4036a84c,1.0
0x0057ab7d455ac4671637a0b2c8e1c7d281807224,1.0
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,2.0
0x00599fcb8b8c618ef6962f85bd7668021cd61df0,1.0
0x005a3e49af2cf567d655c6ccb3e5982e1d55e72b,5.0
0x005ccf8ffa57fa2fac71cb7db2b0e720cbdd5c89,1.0
0x005d4441d0fb3624daaa372b5bfbf5ed348e49db,2.0
0x005f3ff5383692edb22e6b99b7ae7f6a91b20f0d,1.0
0x005fdc40c78df41984c7257297653b4db2246bb1,1.0
0x00604224c0b2f8ef26b7bca8b0378e1b8db8fe57,1.0
0x0060d2cf5b20234a35d20affe75148168cc3965d,1.0
0x00625b930019707240c1d8975474578a8bc3cc57,6.0
0x0063c8a2a8cc2fea630793cc5519b0261c61c8c7,1.0
0x0064c1608efa188c7e51bbf1cd914e16f9807ba4,37.0
0x0065c7e8596bf7a2fe47cd9fb996427a873a0c5b,1.0
0x0065fe45b49279dd160d9457c1118d3dbf8b1c49,5.0
0x00681a9556630d68d893e5542ebecb1ca5a5bfc3,5.0
0x006969a3b5449ca8849b75d28f30f3d8fa88c0c2,1.0
0x00698fc49926c4e56fe6937f88bc15ad793182da,53.0
0x006cde808ac8eaf8f2d2daec83ece5a720ecb102,1.0
0x006d6cd818773ef5a3a0c1d90702c017dece5291,9.0
0x006da176c9148ff803d438cd635f96a203fc9f72,5.0
0x006e91fecad41648d555a60d6fb854d83a6d888a,1.0
0x0071d0aeeaf4e0b7e002f8f6a9fd23855e641680,1.0
0x00736f22f27947602a031f8f7874e8f10e159066,1.0
0x0073f4ea9ae2b09beebe93867f51072b60f28f04,1.0
0x0075612a625cc5653f3174ee5a5215800409f3ad,1.0
0x00778e59b61a572bff95854e5f1399357b5678c6,5.0
0x007943101278fc16fc23d1e1ef80eab83af0d825,1.0
0x007a3599441b4c001f2d10f232a2b863b2757411,6.0
0x007b57f75f644f962c18689d09b2becfebc4dca3,1.0
0x007bfcaa1023a3c70b26383f50ff0a94c751bee2,2.0
0x007cbe0ae55957304d39b1599d94adb841302660,1.0
0x007ebc385e297d05e16a1263d12347b90b54859d,1.0
0x007ecc0c145e2e489fd907b07a4022a218d7dcab,1.0
0x0080a1e518852f39fb70870e3e70afae3c42cac4,1.0
0x0081641c254002d7813eb0d78e7900ed7404b952,1.0
0x008182461790dd50f1680deadb476790ed35f046,1.0
0x00877e800b0ce1683fe0af32ed8580fa324f8444,1.0
0x00881a7feb36b96466a194291becd015bf5e944a,5.0
0x008ad1976b8c56023bc5b0d68ccf93a7a474682f,1.0
0x008d63fab8179ee0ae2082bb57c72ed0c61f990f,1.0
0x008dbfcf666139e1b1a2fa13e71ca4daf74b2bcb,2.0
0x008e37f1171db01d625f19a83090925fa952e0a3,1.0
0x008ed18aab82398005551b51c937a1e2640ad623,1.0
0x008f9d791da51f5df84271ed18289e6e8d937bb4,1.0
0x0090c636cc8e7ca6eaefa3d14e2e6c4cd49c6804,1.0
0x0091b04a46ecb7bdfb37a209dc7410bb19ee9589,1.0
0x00930fd5fa76b7f2bc3adf51560d3894e557f1cd,1.0
0x00948265e05ad882a48a44ac610f8cc09130f1fe,1.0
0x0094c0ad6fd78e01ace7b6c21a1e2b9075f4a2c5,1.0
0x0094cfba72efcafe4d45c257a713414b9502a348,1.0
0x0095716788559a58cbceab770eec6e6609559902,1.0
0x0095a41e20948249bc51a9b7898a5d69d37423c1,3.0
0x009721261708fbb0c4558d2581afda6bb1e954aa,1.0
0x009782dbe0dbfb3026611e5c344ccea4482b3fcf,1.0
0x00984711cef7217e42e221c321623a17fe9b4299,1.0
0x0098a9742b0a5d71c30108f72c5b0f9430918653,1.0
0x0098ffc2b1984b37ac0399f3b5c33b0a542bc9b9,1.0
0x0099eaf361fe9e3cd38282913048dee79735d419,1.0
0x009a4e1897be007f47419ac536e827f2c0a4f5aa,1.0
0x009ba34fce7d173cb94bcb32d384db90ff983623,1.0
0x009dddba60fadf1917601ddf92aa9d48fd229d9a,1.0
0x009ef10a08d50ea87dfadf5af93fc74892ae86cf,1.0
0x009f09d55a0dcce26f8af0a8978b470ac687167b,1.0
0x009f44cb0ecf535ac3398fb420ff7d3fd0da6c1a,1.0
0x009fb719e2cbf58a9cbd1158592d152ff372eec6,93.0
0x00a21cfe962d14f99e9cbb676ee9c5c5d5f76920,1.0
0x00a239a62279463ddc81eb4871776ac9ad0194e2,1.0
0x00a399ce3a12311cf2d6b1db78fcb767db821c97,1.0
